Diem,KhoiThi
12.75,KhoiA1
18.05,KhoiA
9.1,KhoiD
16.05,KhoiD
11.4,KhoiD
23.05,KhoiA
17.55,KhoiA1
11.4,KhoiD
9.2,KhoiA1
15.3,KhoiD
13.85,KhoiD
15.35,KhoiD
13.45,KhoiA
15.15,KhoiD
18.65,KhoiA
16.05,KhoiA
14.9,KhoiD
18.25,KhoiD
19.8,KhoiA
12.8,KhoiD
14.8,KhoiD
12.25,KhoiD
12.75,KhoiD
9.95,KhoiA1
18.75,KhoiA
14.8,KhoiD
15.2,KhoiD
15,KhoiA1
12.7,KhoiD
13.05,KhoiD
18.65,KhoiA
13.9,KhoiD
13.5,KhoiD
16,KhoiA
19.65,KhoiA1
15.95,KhoiA
16.85,KhoiD
18.25,KhoiD
17.15,KhoiD
12.4,KhoiD
18,KhoiD
19,KhoiA1
14.95,KhoiD
11.4,KhoiA1
16.3,KhoiD
22.65,KhoiD
20.25,KhoiD
14.5,KhoiD
12.55,KhoiA1
12.45,KhoiA
18.25,KhoiA
12.1,KhoiA1
17.55,KhoiD
15.5,KhoiA
17.65,KhoiA1
14.85,KhoiD
15.6,KhoiD
13.35,KhoiD
16.5,KhoiD
16.9,KhoiD
19,KhoiA
18.45,KhoiA
17.75,KhoiA1
10.5,KhoiA1
12.8,KhoiD
19.2,KhoiD
11,KhoiA
10,KhoiA1
10.25,KhoiA1
14.9,KhoiD
8.7,KhoiD
13.15,KhoiD
15.85,KhoiD
20.05,KhoiA
18.75,KhoiD
19.2,KhoiD
12.6,KhoiD
15.2,KhoiA1
15.95,KhoiD
18.15,KhoiA1
13.05,KhoiA
19.45,KhoiA
16.05,KhoiD
14.55,KhoiD
13.95,KhoiD
15.45,KhoiA1
13.55,KhoiD
16.95,KhoiA1
17.6,KhoiA
18.9,KhoiD
15.65,KhoiA1
12.05,KhoiD
21.1,KhoiA
18.05,KhoiA1
21.2,KhoiA
9.3,KhoiA
15.7,KhoiA1
13.3,KhoiD
14.7,KhoiD
17.25,KhoiA1
13.05,KhoiA1
12.2,KhoiD
15.9,KhoiA
8.2,KhoiD
18.5,KhoiD
12.5,KhoiD
10.7,KhoiD
19.6,KhoiA
18.95,KhoiD
17.2,KhoiD
16,KhoiD
17.25,KhoiD
12.8,KhoiD
14.5,KhoiD
15.25,KhoiD
13.55,KhoiD
13.85,KhoiD
12.75,KhoiD
