AQI index,Dominent pollutant,PM10,PM2.5,,,,,,,,
102,pm25,76,102,,,,,,,,
82,pm25,52,82,,,,,,,,
83,pm25,56,83,,,,,,,,
103,pm25,60,103,,,,,,,,
98,pm25,74,98,,,,,,,,
75,pm25,56,75,,,,,,,,
102,pm25,76,102,,,,,,,,
74,pm25,53,74,,,,,,,,
83,pm10,83,53,,,,,,,,
14,pm25,12,14,,,,,,,,
90,pm10,90,38,,,,,,,,
114,pm25,81,114,,,,,,,,
54,pm25,14,54,,,,,,,,
31,pm25,22,31,,,,,,,,
8,pm25,5,8,,,,,,,,
96,pm25,58,96,,,,,,,,
123,pm25,82,123,,,,,,,,
82,pm25,51,82,,,,,,,,
89,pm25,60,89,,,,,,,,
104,pm25,68,104,,,,,,,,
112,pm25,69,112,,,,,,,,
78,pm25,52,78,,,,,,,,
116,pm25,80,116,,,,,,,,
94,pm25,58,94,,,,,,,,
99,pm10,99,90,,,,,,,,
25,pm25,25,25,,,,,,,,
69,pm10,69,39,,,,,,,,
85,pm25,60,85,,,,,,,,
77,pm10,77,75,,,,,,,,
45,pm25,8,45,,,,,,,,
22,pm25,13,22,,,,,,,,
5,pm25,4,5,,,,,,,,
149,pm25,84,149,,,,,,,,
85,pm25,67,85,,,,,,,,
61,pm25,47,61,,,,,,,,
64,pm25,51,64,,,,,,,,
73,pm25,62,73,,,,,,,,
85,pm25,67,85,,,,,,,,
55,pm25,40,55,,,,,,,,
85,pm25,68,85,,,,,,,,
59,pm25,43,59,,,,,,,,
162,pm25,121,162,,,,,,,,
24,pm25,21,24,,,,,,,,
16,pm25,12,16,,,,,,,,
46,pm25,43,46,,,,,,,,
17,pm25,9,17,,,,,,,,
91,pm25,45,91,,,,,,,,
1,pm25,1,1,,,,,,,,
14,pm25,8,14,,,,,,,,
46,pm25,44,46,,,,,,,,
32,pm25,21,32,,,,,,,,
38,pm25,26,38,,,,,,,,
40,pm25,29,40,,,,,,,,
43,pm25,41,43,,,,,,,,
34,pm25,28,34,,,,,,,,
46,pm25,44,46,,,,,,,,
42,pm25,28,42,,,,,,,,
30,pm25,21,30,,,,,,,,
21,pm25,15,21,,,,,,,,
59,pm25,51,59,,,,,,,,
94,pm25,67,94,,,,,,,,
86,pm25,49,86,,,,,,,,
112,pm25,44,112,,,,,,,,
36,pm25,19,36,,,,,,,,
8,pm25,5,8,,,,,,,,
77,pm25,48,77,,,,,,,,
53,pm25,29,53,,,,,,,,
42,pm25,34,42,,,,,,,,
93,pm25,53,93,,,,,,,,
79,pm25,57,79,,,,,,,,
50,pm25,30,50,,,,,,,,
94,pm25,63,94,,,,,,,,
48,pm25,37,48,,,,,,,,
139,pm25,124,139,,,,,,,,
21,pm25,15,21,,,,,,,,
42,pm10,42,28,,,,,,,,
105,pm25,73,105,,,,,,,,
47,pm25,28,47,,,,,,,,
148,pm25,52,148,,,,,,,,
23,pm25,12,23,,,,,,,,
6,pm25,4,6,,,,,,,,
57,pm25,34,57,,,,,,,,
131,pm25,93,131,,,,,,,,
87,pm25,54,87,,,,,,,,
98,pm25,64,98,,,,,,,,
96,pm25,60,96,,,,,,,,
111,pm25,76,111,,,,,,,,
94,pm25,54,94,,,,,,,,
121,pm25,85,121,,,,,,,,
101,pm25,57,101,,,,,,,,
85,pm25,67,85,,,,,,,,
35,pm25,24,35,,,,,,,,
53,pm10,53,39,,,,,,,,
119,pm25,32,119,,,,,,,,
26,pm25,14,26,,,,,,,,
5,pm25,4,5,,,,,,,,
75,pm25,49,75,,,,,,,,
113,pm25,79,113,,,,,,,,
88,pm25,59,88,,,,,,,,
74,pm25,50,74,,,,,,,,
97,pm25,56,97,,,,,,,,
109,pm25,75,109,,,,,,,,
98,pm25,63,98,,,,,,,,
111,pm25,69,111,,,,,,,,
91,pm25,53,91,,,,,,,,
70,pm25,58,70,,,,,,,,
37,pm25,27,37,,,,,,,,
41,pm10,41,26,,,,,,,,
83,pm25,66,83,,,,,,,,
36,pm25,34,36,,,,,,,,
139,pm25,55,139,,,,,,,,
41,pm25,25,41,,,,,,,,
10,pm25,7,10,,,,,,,,
41,pm25,27,41,,,,,,,,
87,pm25,68,87,,,,,,,,
49,pm25,28,49,,,,,,,,
45,pm25,33,45,,,,,,,,
78,pm25,49,78,,,,,,,,
83,pm25,66,83,,,,,,,,
44,pm25,28,44,,,,,,,,
81,pm25,65,81,,,,,,,,
49,pm25,31,49,,,,,,,,
51,pm10,51,36,,,,,,,,
33,pm25,27,33,,,,,,,,
64,pm10,64,39,,,,,,,,
112,pm25,77,112,,,,,,,,
83,pm25,51,83,,,,,,,,
192,pm25,87,192,,,,,,,,
24,pm25,19,24,,,,,,,,
5,pm25,4,5,,,,,,,,
101,pm25,56,101,,,,,,,,
116,pm25,79,116,,,,,,,,
95,pm25,51,95,,,,,,,,
98,pm25,62,98,,,,,,,,
101,pm25,59,101,,,,,,,,
114,pm25,77,114,,,,,,,,
84,pm25,51,84,,,,,,,,
124,pm25,86,124,,,,,,,,
105,pm25,57,105,,,,,,,,
81,pm10,81,78,,,,,,,,
27,pm25,21,27,,,,,,,,
70,pm10,70,41,,,,,,,,
116,pm25,61,116,,,,,,,,
121,pm25,66,121,,,,,,,,
167,pm25,72,167,,,,,,,,
31,pm25,17,31,,,,,,,,
8,pm25,6,8,,,,,,,,
102,pm25,63,102,,,,,,,,
120,pm25,69,120,,,,,,,,
110,pm25,61,110,,,,,,,,
126,pm25,73,126,,,,,,,,
100,pm25,62,100,,,,,,,,
127,pm25,71,127,,,,,,,,
113,pm25,63,113,,,,,,,,
117,pm25,64,117,,,,,,,,
115,pm25,61,115,,,,,,,,
194,pm25,177,194,,,,,,,,
55,pm10,55,29,,,,,,,,
127,pm25,70,127,,,,,,,,
85,pm25,63,85,,,,,,,,
175,pm25,65,175,,,,,,,,
17,pm25,9,17,,,,,,,,
4,pm25,3,4,,,,,,,,
60,pm25,50,60,,,,,,,,
75,pm25,50,75,,,,,,,,
153,pm25,78,153,,,,,,,,
99,pm25,56,99,,,,,,,,
95,pm25,58,95,,,,,,,,
104,pm25,1,104,,,,,,,,
138,pm25,73,138,,,,,,,,
90,pm25,53,90,,,,,,,,
133,pm25,69,133,,,,,,,,
99,pm25,59,99,,,,,,,,
119,pm25,89,119,,,,,,,,
24,pm10,24,40,,,,,,,,
113,pm25,66,113,,,,,,,,
59,pm25,51,59,,,,,,,,
40,pm25,13,40,,,,,,,,
16,pm25,12,16,,,,,,,,
5,pm25,3,5,,,,,,,,
61,pm25,42,61,,,,,,,,
60,pm25,39,60,,,,,,,,
116,pm25,78,116,,,,,,,,
82,pm25,45,82,,,,,,,,
83,pm25,54,83,,,,,,,,
118,pm25,83,118,,,,,,,,
82,pm25,51,82,,,,,,,,
117,pm25,78,117,,,,,,,,
87,pm25,57,87,,,,,,,,
98,pm25,86,98,,,,,,,,
52,pm25,38,52,,,,,,,,
50,pm10,50,26,,,,,,,,
100,pm25,71,100,,,,,,,,
81,pm25,30,81,,,,,,,,
16,pm25,9,16,,,,,,,,
2,pm25,2,2,,,,,,,,
57,pm25,42,57,,,,,,,,
50,pm25,35,50,,,,,,,,
92,pm25,52,92,,,,,,,,
82,pm25,47,82,,,,,,,,
75,pm25,52,75,,,,,,,,
95,pm25,1,95,,,,,,,,
102,pm25,60,102,,,,,,,,
86,pm25,52,86,,,,,,,,
113,pm25,63,113,,,,,,,,
94,pm25,55,94,,,,,,,,
122,pm10,122,113,,,,,,,,
97,pm25,57,97,,,,,,,,
59,pm10,59,48,,,,,,,,
1,pm25,1,1,,,,,,,,
44,pm25,27,44,,,,,,,,
7,pm10,7,31,,,,,,,,
26,pm25,14,26,,,,,,,,
3,pm25,2,3,,,,,,,,
70,pm25,52,70,,,,,,,,
60,pm25,40,60,,,,,,,,
79,pm25,48,79,,,,,,,,
88,pm25,51,88,,,,,,,,
65,pm25,47,65,,,,,,,,
54,pm10,54,1,,,,,,,,
97,pm25,62,97,,,,,,,,
74,pm25,49,74,,,,,,,,
112,pm25,59,112,,,,,,,,
72,pm25,48,72,,,,,,,,
198,pm10,198,90,,,,,,,,
15,pm25,14,15,,,,,,,,
24,pm25,16,24,,,,,,,,
1,pm25,1,1,,,,,,,,
15,pm25,4,15,,,,,,,,
19,pm25,11,19,,,,,,,,
6,pm25,6,6,,,,,,,,
26,pm25,20,26,,,,,,,,
28,pm25,23,28,,,,,,,,
63,pm25,50,63,,,,,,,,
40,pm25,28,40,,,,,,,,
39,pm25,36,39,,,,,,,,
54,pm10,54,1,,,,,,,,
62,pm25,56,62,,,,,,,,
42,pm25,35,42,,,,,,,,
68,pm25,57,68,,,,,,,,
44,pm25,32,44,,,,,,,,
80,pm10,80,48,,,,,,,,
28,pm25,24,28,,,,,,,,
26,pm25,20,26,,,,,,,,
1,pm25,1,1,,,,,,,,
21,pm25,2,21,,,,,,,,
21,pm25,11,21,,,,,,,,
2,pm25,2,2,,,,,,,,
75,pm25,45,75,,,,,,,,
121,pm25,87,121,,,,,,,,
83,pm25,56,83,,,,,,,,
106,pm25,65,106,,,,,,,,
112,pm25,80,112,,,,,,,,
122,pm25,87,122,,,,,,,,
82,pm25,55,82,,,,,,,,
123,pm25,89,123,,,,,,,,
82,pm25,54,82,,,,,,,,
115,pm10,115,109,,,,,,,,
26,pm25,21,26,,,,,,,,
72,pm10,72,51,,,,,,,,
1,pm25,1,1,,,,,,,,
40,pm25,8,40,,,,,,,,
18,pm25,10,18,,,,,,,,
